N,record_count_refined,count_independent_test,j,L,n_j,n_j_over_N,conjectured_n_j_over_N,count_fraction_error,count_fraction_relative_error,gamma_j,effective_exponent_log_gamma_over_log_N,gamma_over_N_to_j_over_2,gamma_over_N_to_j,n_j_over_n_jplus1,pi_ratio_error
12000,False,False,7,7,1,8.333333333333333e-05,0.00011285164426203656,-2.9518310928703233e-05,-0.2615673978144529,4274071118.3057256,2.360974216002889,2.2579139312088902e-05,1.192814808090545e-19,,
20000,True,True,0,8,13631,0.68155,0.6816901138162093,-0.0001401138162092641,-0.00020553887077059805,1.0,0.0,1.0,1.0,6.423656927426956,3.282064273837163
20000,True,True,1,8,2122,0.1061,0.10849435127072644,-0.002394351270726444,-0.02206890259891788,925.1866468624279,0.6896555845925468,6.542057518596664,0.04625933234312139,2.8714479025710418,-0.27014475101875135
20000,True,True,2,8,739,0.03695,0.034534824604569136,0.0024151753954308602,0.06993449143249217,249270.34742152822,1.2547391263090817,12.463517371076412,0.0006231758685538206,3.3438914027149322,0.20229874912513912
20000,True,True,3,8,221,0.01105,0.010992776089257578,5.722391074242279e-05,0.0052055923160614056,6930415.692591585,1.590493275253761,2.4502719663365866,8.663019615739481e-07,3.2028985507246377,0.06130589713484458
20000,True,True,4,8,69,0.00345,0.003499109305815475,-4.9109305815475245e-05,-0.014034801866250992,110564751.27327204,1.8701605665098067,0.2764118781831801,6.910296954579503e-10,3.1363636363636362,-0.0052290172261568735
20000,True,True,5,8,22,0.0011,0.0011138010848787665,-1.3801084878766476e-05,-0.012390978125388231,1113996216.87956,2.103422604608852,0.01969285697929242,3.481238177748625e-13,3.142857142857143,0.0012644892673496777
20000,True,True,6,8,7,0.00035,0.00035453389655914277,-4.533896559142769e-06,-0.012788330264455918,9308443087.82766,2.317788310672332,0.0011635553859784575,1.4544442324730718e-16,2.3333333333333335,-0.8082593202564596
20000,True,True,7,8,3,0.00015,0.00011285164426203656,3.7148355737963424e-05,0.3291786839339848,38604039518.04837,2.4614180236361145,3.412147265550683e-05,3.0159405873475293e-20,3.0,-0.14159265358979312
20000,True,True,8,8,1,5e-05,3.59217940407025e-05,1.4078205959297505e-05,0.39191266291838545,4772750460582.257,2.947844758349553,2.9829690378639105e-05,1.864355648664944e-22,,
50000,False,False,0,9,34079,0.68158,0.6816901138162093,-0.00011011381620928962,-0.00016153060456290766,1.0,0.0,1.0,1.0,6.28184331797235,3.140250664382557
50000,False,False,1,9,5425,0.1085,0.10849435127072644,5.6487292735551975e-06,5.2064731549570705e-05,2307.3254805425063,0.7157119239008521,10.318673241420825,0.04614650961085012,3.1412854661262304,-0.0003071874635627303
50000,False,False,2,9,1727,0.03454,0.034534824604569136,5.17539543086476e-06,0.000149860191563852,1594103.8523674065,1.3199736549904932,31.88207704734813,0.0006376415409469626,3.14,-0.0015926535897929917
50000,False,False,3,9,550,0.011,0.010992776089257578,7.2239107424213606e-06,0.0006571507218709522,91566866.36971642,1.694358198611845,8.189989507573012,7.325349309577314e-07,3.142857142857143,0.0012644892673496777
50000,False,False,4,9,175,0.0035,0.003499109305815475,8.906941845248859e-07,0.00025454883133961076,3402583217.4889884,2.028488955412589,1.3610332869955954,5.444133147982381e-10,3.125,-0.016592653589793116
50000,False,False,5,9,56,0.00112,0.0011138010848787665,6.1989151212333594e-06,0.005565549545059108,78941411369.18254,2.3190837304112626,0.14121468964901354,2.5261251638138413e-13,3.111111111111111,-0.030481542478681956
50000,False,False,6,9,18,0.00036,0.00035453389655914277,5.466103440857257e-06,0.015417717442273987,1519360073299.565,2.592410825843471,0.01215488058639652,9.723904469117215e-17,3.0,-0.14159265358979312
50000,False,False,7,9,6,0.00012,0.00011285164426203656,7.14835573796344e-06,0.06334294714718797,14511360935206.574,2.8009772635552515,0.0005191742319545092,1.8574541997064414e-20,3.0,-0.14159265358979312
50000,False,False,8,9,2,4e-05,3.59217940407025e-05,4.078205959297506e-06,0.1135301303347084,4204558992095547.5,3.3249244910722284,0.0006727294387352876,1.07636710197646e-22,2.0,-1.1415926535897931
50000,False,False,9,9,1,2e-05,1.1434262172613583e-05,8.565737827386419e-06,0.7491290385052023,4.204558992095527e+17,3.7505496808807353,0.00030085375109547516,2.15273420395291e-25,,
